,Task ID,Name,Assignee,Date,Projects,Parent task,Event Status,Category,Set Up Time,Start Time,End Time,Address,Zip,PN?,Social Media,City,KDL Branch,GRPL Branch,Reason for NA,Est. Attendance,# Staff Attended,# FAB Attended,# Interns Attended,# Volunteers Attended,Method of # P@E,Host(s),"Volunteer Email Addresses (a,b,c):",Location,Event ID
0,1211083885845575,Southeast Area Farmers Market,BroAer,2025-10-18,2025 Events Planning,,Pending Decision,Community Event,10:30 am,11 am,4 pm,1030 Bemis St SE,49506.0,Yes,Yes,Grand Rapids,,,,100.0,,,,,,Our Kitchen Table/Southeast Area Farmers Market,,Joe Taylor Park,E1
1,1210688094347344,Southeast Area Farmers Market,CylBli,2025-11-15,2025 Events Planning,,Pending Decision,Community Event,TBD,11am,4pm,1030 Bemis SE,49506.0,Yes,Yes,Grand Rapids,,,,100.0,,,,,,Our Kitchen Table,,Joe Taylor Park,E2
2,1211080659646082,Envisioning Our Early Learning Community,BroAer,2025-08-23,"Community Events Calendar,2025 Events Planning",,Registration Needed,Community Event,12:30 pm,1 pm,4 pm,704 W Fulton,49504.0,No,No,Grand Rapids,,,,50.0,,,,,,Parents for Healthy Homes,,The Other Way Ministries,E3
3,1210920847790333,March For Fatherhood,CylBli,2025-09-13,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,TBD,TBD,TBD,TBD,10000.0,Yes,Yes,TBD,,,,125.0,,,,,,All Things Fatherhood,,TBD,E4
4,1210412596892654,Lowell Harvest Celebration,SusAlo,2025-10-11,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,TBD,TBD,TBD,Downtown Lowell,49331.0,No,Yes,Lowell,,,,2000.0,,,,,,Lowell Chamber of Commerce,,Downtown Lowell,E5
5,1210332294272477,"Sparta Books, Blocks, and Balls",LiaTag,2025-09-20,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,TBD,TBD,TBD,TBD,0.0,No,Yes,TBD,,,,500.0,2.0,1.0,,,,Great Start Collaborative,,"Sparta, MI",E6
6,1210950143901705,Red Flannel Festival,CylBli,2025-10-04,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,TBD,TBD,TBD,18 S. MAIN ST,49319.0,No,Yes,Cedar Springs,,,,5000.0,,,,,,Red Flannel Festival,,Downtown Cedar Springs,E7
7,1210479561441476,Kendra Scott Give Back Event,MarKeh,2025-12-14,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,12:50pm,1:00pm,4:00pm,1944 Breton Rd SE,49506.0,No,Yes,Grand Rapids,,,,30.0,,,,,,Kendra Scott,,Kendra Scott Jewlery,E8
8,1210832589210915,Community Resource Fair at GRPL,CylBli,2025-09-26,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,noon or noon thirty,1pm,5pm,111 Library St NE,49503.0,Yes,Yes,Grand Rapids,,,,100.0,,,,,,Grand Rapids Public Library,,Grand Rapids Public Library Main Branch,E9
9,1210833506538653,Grand Rapids Plays,CylBli,2025-09-20,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,noon?,1:00pm,3:30pm,940 Baldwin St SE,49506.0,Yes,Yes,Grand Rapids,,,,50.0,,,,,,Playground GR,,Congress Elementary,E10
10,1210821209999260,Meet your Neighbors,MaiHof,2025-09-09,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,TBD,4:30 pm,7 pm,2080 Union Ave SE,49507.0,Yes,Yes,Grand Rapids,,,,0.0,,,,,,Samaritas,,Samaritas,E11
11,1210227917875845,9in|9out Parent & Baby Expo,SamRic,2025-09-20,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,TBD,TBD,TBD,2500 Division Ave S,49507.0,Yes,Yes,Grand Rapids,,,,300.0,,,,,,9in | 9out,,The Kroc Center,E12
12,1210535068706211,Trunk or Treat for Lead Defeat,CylBli,2025-10-23,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,TBD,5 pm,7 pm,1545 Buchanan Ave SW,49507.0,No,Yes,Grand Rapids,,,,500.0,,,,,,Healthy Homes Coalition,,SECOM/Healthy Homes parking lot,E13
13,1210332350815411,Family Futures' Mini Monsters Trunk or Treat,MarKeh,2025-10-21,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,3 pm,5 pm,7 pm,250 Burton St SE,49507.0,Yes,Yes,Grand Rapids,,,,5000.0,,,,,,Family Futures,,Garfield Park,E14
14,1210332256741630,Family Futures' Family Reunion Community Celebration,MarKeh,2025-09-27,"Community Events Calendar,2025 Events Planning",,Registered & Preparing,Community Event,2 pm,4:30 pm,6:30 pm,250 Burton St SE,49507.0,Yes,Yes,Grand Rapids,,,,1000.0,,,,,,Family Futures,,Garfield Park,E15
15,1210825407265794,Sheldon WIC Clinic,SusAlo,2025-09-22,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,11a,4p,121 Franklin St SE,49507.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Sheldon WIC Clinic,,Sheldon WIC Clinic,E16
16,1210825436762435,Sheldon WIC Clinic,SusAlo,2025-10-03,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,11a,4p,121 Franklin St SE,49507.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Sheldon WIC Clinic,,Sheldon WIC Clinic,E17
17,1210825692993295,Sheldon WIC Clinic,SusAlo,2025-09-19,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,11a,4p,121 Franklin St SE,49507.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Sheldon WIC Clinic,,Sheldon WIC Clinic,E18
18,1210825391874754,Sheldon WIC Clinic,SusAlo,2025-09-09,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,11a,4p,121 Franklin St SE,49507.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Sheldon WIC Clinic,,Sheldon WIC Clinic,E19
19,1210825687391202,Sheldon WIC Clinic,SusAlo,2025-09-09,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,11a,4p,121 Franklin St SE,49507.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Sheldon WIC Clinic,,Sheldon WIC Clinic,E20
20,1210825390476483,Sheldon WIC Clinic,SusAlo,2025-08-27,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,11a,4p,121 Franklin St SE,49507.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Sheldon WIC Clinic,,Sheldon WIC Clinic,E21
21,1210825385512038,Sheldon WIC Clinic,SusAlo,2025-08-22,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,11a,4p,121 Franklin St SE,49507.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Sheldon WIC Clinic,,Sheldon WIC Clinic,E22
22,1210825408801127,Sheldon WIC Clinic,SusAlo,2025-10-28,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,11a,4p,121 Franklin St SE,49507.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Sheldon WIC Clinic,,Sheldon WIC Clinic,E23
23,1210825267939002,Sheldon WIC Clinic,SusAlo,2025-10-20,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,11a,4p,121 Franklin St SE,49507.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Sheldon WIC Clinic,,Sheldon WIC Clinic,E24
